#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
39;3,872.77;801.02;.00;127.14;290.00;5,090.93;243.47;5,334.40;440,787.66
40;3,865.75;808.04;.00;127.14;290.00;5,090.93;243.47;5,334.40;439,979.62
41;3,858.66;815.13;.00;127.14;290.00;5,090.93;243.47;5,334.40;439,164.49
42;3,851.51;822.28;.00;127.14;290.00;5,090.93;243.47;5,334.40;438,342.22
43;3,844.30;829.49;.00;127.14;290.00;5,090.93;243.47;5,334.40;437,512.73
44;3,837.03;836.76;.00;127.14;290.00;5,090.93;243.47;5,334.40;436,675.97
45;3,829.69;844.10;.00;127.14;290.00;5,090.93;243.47;5,334.40;435,831.86
46;3,822.29;851.50;.00;127.14;290.00;5,090.93;243.47;5,334.40;434,980.36
47;3,814.82;858.97;.00;127.14;290.00;5,090.93;243.47;5,334.40;434,121.39
48;3,807.28;866.51;112.29;127.14;290.00;5,203.22;243.47;5,446.69;433,254.88
Año;3
49;3,799.69;874.10;112.07;127.14;290.00;5,203.00;243.47;5,446.47;432,380.78
50;3,792.02;881.77;111.84;127.14;290.00;5,202.77;243.47;5,446.24;431,499.01
51;3,784.29;889.50;111.61;127.14;290.00;5,202.54;243.47;5,446.01;430,609.50
52;3,776.49;897.30;111.38;127.14;290.00;5,202.31;243.47;5,445.78;429,712.20
53;3,768.62;905.17;111.15;127.14;290.00;5,202.08;243.47;5,445.55;428,807.02
54;3,760.68;913.11;110.91;127.14;290.00;5,201.84;243.47;5,445.31;427,893.91
55;3,752.67;921.12;110.68;127.14;290.00;5,201.61;243.47;5,445.08;426,972.79
56;3,744.59;929.20;110.44;127.14;290.00;5,201.37;243.47;5,444.84;426,043.59
57;3,736.44;937.35;110.20;127.14;290.00;5,201.13;243.47;5,444.60;425,106.24
58;3,728.22;945.57;109.96;127.14;290.00;5,200.89;243.47;5,444.36;424,160.67
59;3,719.93;953.86;109.71;127.14;290.00;5,200.64;243.47;5,444.11;423,206.81
