8,17,19,21,28,30
5,9,10,16,22,26
13,18,21,29,31,39
7,12,13,16,19,26
2,15,17,29,30,35
8,16,19,22,23,36
1,15,18,27,35,36
12,15,20,27,34,36
1,10,11,23,34,35
12,13,24,25,27,33
1,2,14,15,23,35
1,4,11,19,22,34
7,12,25,33,34,35
1,4,9,12,15,31
1,4,13,19,32,39
2,4,10,23,26,28
1,4,16,23,33,35
4,18,19,20,26,34
5,12,20,25,27,38
20,21,25,30,34,35
8,11,12,19,26,34
14,18,29,31,32,35
1,3,13,17,28,30
20,22,23,27,35,38
7,11,20,25,33,36
2,10,12,30,38,39
22,25,27,29,32,37
2,17,30,32,34,36
1,10,14,16,25,28
5,6,9,25,26,28
1,6,16,21,34,36
20,27,28,31,34,37
2,4,5,19,21,24
3,8,12,13,31,32
1,8,14,18,29,38
1,5,10,26,36,37
5,17,20,25,28,29
8,10,13,14,26,36
9,21,27,34,38,39
5,18,24,32,35,37
4,17,25,27,30,31
16,26,30,31,37,38
10,12,13,15,19,23
4,14,17,24,26,35
5,9,14,17,22,29
9,11,18,23,27,37
17,20,32,34,35,37
8,19,21,29,33,35
4,6,15,22,23,26
13,15,28,30,35,38
9,10,12,23,28,32
10,11,25,28,29,31
4,17,18,27,33,37
8,10,22,29,34,39
13,15,16,20,34,38
3,5,12,16,18,26
1,3,5,8,25,26
1,5,20,26,29,31
7,8,15,21,26,28
10,16,23,29,32,37
11,13,15,26,31,32
5,15,20,22,25,31
3,4,5,11,24,25
6,7,11,13,18,38
2,6,12,24,31,32
1,2,20,24,26,28
7,11,16,21,22,39
11,14,15,16,25,29
1,2,17,21,34,38
3,5,13,19,24,27
1,11,19,26,29,37
1,11,13,21,28,32
4,9,18,36,38,39
4,27,30,32,36,39
4,8,14,25,31,38
1,3,5,14,15,22
4,8,20,25,27,36
4,8,16,24,35,38
2,11,14,30,36,38
2,5,6,18,30,35
9,17,33,34,36,39
2,9,14,21,27,37
4,5,6,15,18,33
6,24,26,28,30,36
3,5,9,14,24,28
2,9,12,15,33,36
11,12,19,27,36,38
5,19,22,23,33,39
5,8,13,26,37,38
2,5,8,13,15,36
4,6,18,20,21,29
2,9,16,17,18,33
9,11,12,13,34,39
7,8,18,25,34,38
7,12,15,17,28,32
15,18,21,29,32,33
10,24,28,32,33,39
12,13,14,18,21,37
2,5,9,15,20,23
2,10,11,27,31,36
17,26,31,36,38,39
6,7,15,25,26,29
4,8,23,31,35,39
1,7,13,15,22,39
13,19,20,21,38,39
5,25,28,34,38,39
8,15,27,29,34,38
2,4,13,30,32,35
6,8,13,23,26,35
4,5,24,26,31,36
2,7,22,23,30,38
9,10,12,16,21,37
1,5,12,18,33,38
2,3,17,21,31,37
1,3,8,9,17,33
8,9,20,23,29,38
3,7,9,12,16,32
11,17,18,22,27,32
1,4,7,10,21,30
3,16,22,28,33,35
11,17,23,27,29,36
5,8,9,23,26,32
2,4,6,8,18,22
1,3,15,18,24,34
15,21,23,25,37,38
3,15,26,32,35,36
12,14,15,19,31,35
6,7,8,12,19,23
1,10,15,22,23,37
6,8,9,13,21,39
12,19,27,35,37,39
5,10,16,23,24,38
2,6,7,25,27,36
11,12,16,17,27,34
2,3,5,19,28,31
6,12,14,28,29,36
3,8,27,30,32,33
25,28,30,31,32,38
2,8,22,23,33,35
14,15,26,29,32,34
3,7,15,29,37,39
2,3,12,23,31,39
5,11,17,23,30,34
2,9,10,19,33,39
7,12,22,30,35,37
1,5,11,20,22,24
10,12,13,17,25,37
8,9,17,19,22,25
12,24,26,27,29,35
5,6,14,22,24,38
