/* Generadas 18/22/10 18:22:56 [factor:5  */ 
2,5,7,12,20,29
5,6,16,19,22,36
12,15,20,22,26,31
2,3,8,15,16,38
1,2,18,19,20,39
3,16,23,26,31,36
4,11,14,19,35,36
1,18,22,25,31,32
9,15,18,24,27,32
12,14,17,19,22,23
5,17,18,20,34,36
7,15,23,29,33,34
5,8,10,29,31,38
10,11,12,17,20,24
8,14,23,25,30,39
4,12,16,19,31,34
5,11,14,20,26,32
1,6,23,28,31,34
1,9,20,27,29,33
5,8,12,13,19,28
8,23,27,31,32,41
14,19,24,31,40,43
2,3,12,19,23,33
8,13,22,28,36,38
4,10,11,14,34,37
14,20,22,28,49,53
7,10,19,25,33,36
3,21,24,28,30,34
1,10,15,18,21,28
7,12,16,26,28,32
9,15,18,19,27,28
23,28,31,34,36,39
13,14,19,25,34,36
22,29,33,34,39,42
2,11,24,29,34,38
18,20,26,27,29,35
11,15,22,25,26,37
7,12,18,22,23,24
18,26,30,32,33,36
4,6,7,11,20,27
2,7,8,16,33,37
10,12,18,23,31,39
7,19,21,23,27,32
2,9,15,17,18,20
2,14,19,20,21,33
7,10,26,27,28,35
6,8,9,12,32,37
7,24,26,33,36,39
2,10,12,14,18,26
2,3,6,15,17,21
1,8,9,18,20,31
2,3,7,20,24,28
4,5,17,21,22,39
3,12,16,20,34,36
1,3,6,14,15,25
3,7,10,11,14,31
5,6,7,26,32,35
3,17,21,22,25,29
3,4,19,22,29,37
18,20,23,24,28,36
11,12,20,21,35,39
1,2,4,8,31,34
2,8,12,15,20,33
14,21,28,31,34,39
4,18,20,27,34,35
8,11,18,23,25,37
16,22,26,34,35,36
5,7,11,21,32,39
1,2,5,6,15,24
3,5,10,12,31,34
2,11,17,19,28,37
5,16,19,28,33,36
3,5,20,27,29,34
3,13,25,33,34,38
7,8,12,19,31,36
3,5,10,19,28,37
8,12,16,22,27,37
1,17,19,21,32,34
6,9,20,26,35,39
3,8,11,18,21,36
1,19,20,25,35,38
1,7,12,21,32,38
4,6,14,17,19,35
12,15,22,28,31,36
3,8,12,21,29,38
5,15,20,27,29,35
4,12,18,28,34,38
3,12,24,28,32,38
7,15,18,21,23,31
4,10,19,27,35,36
2,8,24,25,36,38
3,13,22,25,32,39
3,11,13,20,33,36
9,13,20,29,32,39
1,12,17,25,30,39
7,16,20,25,32,36
8,11,19,21,36,37
7,8,10,29,31,33
1,12,16,30,32,36
10,17,23,30,34,38
2,12,18,21,25,26
1,12,18,21,25,26
1,2,12,21,25,26
1,2,12,21,25,26
1,2,12,18,25,26
1,2,12,18,21,26
